Date,Price,Open,High,Low,Vol.,Change %
8/1/2010,0.10,0.1,0.1,0,221.74K,0.00%
9/1/2010,0.10,0.1,0.2,0.1,216.81K,0.00%
10/1/2010,0.20,0.1,0.2,0,1.11M,210.99%
11/1/2010,0.20,0.2,0.5,0.1,826.25K,0.00%
12/1/2010,0.30,0.2,0.3,0.2,263.65K,44.09%
1/1/2011,0.50,0.3,0.9,0.3,377.75K,73.33%
2/1/2011,0.90,0.5,1.1,0.5,367.30K,65.38%
3/1/2011,0.80,0.9,1,0.7,243.30K,-8.77%
4/1/2011,3.50,0.8,4.2,0.6,868.76K,346.09%
5/1/2011,8.70,3.5,9.5,2.5,949.02K,149.71%
6/1/2011,16.10,8.7,31.9,8.3,1.36M,84.21%
7/1/2011,13.40,16.1,16.7,11,1.05M,-17.08%
8/1/2011,8.20,13.4,13.6,5.7,1.22M,-38.58%
9/1/2011,5.10,8.2,8.7,4.2,1.49M,-37.32%
10/1/2011,3.30,5.1,5.3,2,1.73M,-36.77%
11/1/2011,3.00,3.3,3.4,2,1.97M,-8.62%
12/1/2011,4.70,3,5,2.6,1.90M,58.92%
1/1/2012,5.50,4.7,7.2,4.6,3.21M,16.10%
2/1/2012,4.90,5.5,6.2,3.9,2.84M,-11.31%
3/1/2012,4.90,4.9,5.4,4.3,1.76M,0.00%
4/1/2012,4.90,4.9,5.5,4.6,1.66M,0.00%
5/1/2012,5.20,4.9,5.2,4.8,1.24M,4.65%
6/1/2012,6.70,5.2,6.8,5.2,1.38M,29.15%
7/1/2012,9.40,6.7,9.7,6.4,1.90M,39.76%
8/1/2012,10.20,9.4,15.4,7.6,2.45M,8.66%
9/1/2012,12.40,10.2,12.7,9.7,959.78K,22.05%
10/1/2012,11.20,12.4,13.1,9.7,1.15M,-9.68%
11/1/2012,12.60,11.2,12.6,10.3,804.19K,12.23%
12/1/2012,13.50,12.6,13.9,12.4,876.92K,7.48%
1/1/2013,20.40,13.5,21.4,13.2,1.46M,51.07%
2/1/2013,33.40,20.4,34.5,18,1.58M,63.55%
3/1/2013,93.00,33.4,95.7,32.9,2.12M,178.70%
4/1/2013,139.20,93,266,50,4.73M,49.66%
5/1/2013,128.80,139.2,140.1,79,2.07M,-7.48%
6/1/2013,97.50,128.8,130.1,88,1.05M,-24.31%
7/1/2013,106.20,97.5,111.7,65.4,1.14M,8.92%
8/1/2013,141.00,106.2,148.7,101,604.91K,32.76%
9/1/2013,141.90,141,148.9,121.3,451.29K,0.64%
10/1/2013,211.20,141.9,233.4,109.7,753.58K,48.82%
11/1/2013,1205.70,211.2,"1,241.90",209.7,1.13M,470.94%
12/1/2013,805.90,"1,205.70","1,239.90",454.9,920.80K,-33.15%
1/1/2014,938.80,805.9,"1,093.40",771,306.25K,16.49%
2/1/2014,573.90,938.8,969.2,91.7,996.35K,-38.87%
3/1/2014,444.70,573.9,695.4,262.8,94.27K,-22.53%
4/1/2014,445.60,444.7,549,355.7,161.16K,0.22%
5/1/2014,627.90,445.6,629,420.2,85.75K,40.90%
6/1/2014,635.10,627.9,676.5,560.8,111.81K,1.15%
7/1/2014,589.50,635.1,652.5,564,107.22K,-7.18%
8/1/2014,481.80,589.5,608.2,450,126.17K,-18.28%
9/1/2014,388.20,481.8,498.5,372.6,295.62K,-19.43%
10/1/2014,337.90,388.2,407.7,294.9,569.00K,-12.96%
11/1/2014,374.90,337.9,480.5,319.8,711.11K,10.97%
